ID,Name,Latitude,Longitude,Type,Year,
1,Guinea Africa,9.7794,-13.5895, Born in 1745 and after 11 years he is sold by African slave traders to English traders at the coast.,Circa 1745,
2,Tinmah,7.60611,-12.735020,Endures the middle passage in order to purchase more slaves from Tinmah in Africa.,Circa 1756,
3,Barbados,13.1527,-59.43227,"Arrives back in the west indies, Observes the brutality of the slave trade ashore.",Circa1756,
4,N. America,37.19416,-77.971090,Witnesses more poor treatment of African slaves.  ,Circa 1756,
5,England Falmouth,50.14903,-5.06892,Transported for the first time to England.,Circa 1756,
6,England Guernsey,49.4332,-2.641340,On route Olaudah marvels at the fall of snow.,1756/57,
7,Holland,51.48965,3.64397,Upon Voyages Olaudah is fascinated with the acquisition of knowledge.,Circa 1757,
8,Scotland - Leith,55.980247,-3.184954,Naval preparations.,Circa 1757,
9,Scotland - Orkney Islands,58.950337,-2.716442,Naval preparations.,Circa 1757,
10,England - Portsmouth,50.7984,-1.076900,Naval engagement.,,
11,England - London,51.483552,-0.046667,"Sent by his 'master', spent time in Hospital recovering from small pox.",,
12,Holland,52.17421,4.514370,Accounts of his naevity aboard vessels ,Circa 1757,
13,Tenerife,28.476435,-16.250748,Accompanied Pascal to carry the late Duke of Cumberland to England.,,
14,Halifax - Nova Scotia,44.65718,-63.582772,Stopped en route to Cape Breton and joined by other soldiers and ships.,,
15,Cape Breton - Nova Scotia,46.46484,-60.428060,Landing soldiers in preperation for attack on Lewisburgh.,Circa 1758/59,
16,Louisburgh,40.9168,-76.932210,"Account of the expedition in Louisburgh, under Admiral Boscawen.",Circa 1758/59,
17,St. Helens,50.694956,-1.111558,Naval engagement.,Circa 1758/59,
18,Spithead,50.79565,-1.195490,Stayed for a short time.,Circa 1758/59,
19,England - Portsmouth,50.7984,-1.076900,Refit - Navy related,Circa 1758/59,
20,Gibraltar,36.06224,-5.628900,Naval engagement.,Circa 1759,
22,England - Portsmouth,50.7984,-1.076900,Refit - Navy related,Circa 1758/59,
23,Spithead,50.79565,-1.195490,Joined by a large fleet commanded by Commodore Keppel.,Circa 1758/59,
24,Belle-Île-en-Mer,47.30622,-3.184600,Refit after being rammed by another ship.,Circa 1762,
25,England - Guernsey,49.4332,-2.641340,Refit,Circa 1762,
26,England - Portsmouth,50.7984,-1.076900,Refit - Navy related,Circa 1762,
27,London - Deptford,51.480263,-0.021828,Arrived on 10 December 1762.,Circa 1762,
29,Mother Bank - P'Mouth,50.762032,-1.215907,Waiting for West India convoy.,Circa 1763,
30,Plymouth - Montserrat,16.68533,-62.17913,Witnesses the workings of the slave trade. Develops strong feelings of attachment to the location.,Circa 1763,
32,St. Kitts and Nevis,17.103307,-62.605619,Witnesses a white man wanting to marry a free black woman.,Circa 1763,
33,St. Eustatia,17.479134,-62.98616,Travelling + Trading,Circa 1763,
34,Grenada Island,12.074546,-61.644545,Travelling + Trading,Circa 1763,
36,Guadeloupe,16.091327,-61.682769,Travelling + Trading,Circa 1763,
35,Montserrat,16.761301,-62.161222,Discharged cargo.,Circa 1763,
37,Savannah - GA,32.074924,-81.057113,Landed cargo before proceeding to Charleston.,Circa 1764,
38,Charleston - S. Carolina,32.801286,-79.873423,Trading + Selling,Circa 1764,
39,Montserrat,16.715601,-62.221647,Travelling + Trading,Circa 1764,
40,Philadelphia ,40.21202,-74.829450,Travelling + Trading,Circa 1764,
41,Guadeloupe,16.088688,-61.596938,Travelling + Trading,Circa 1764,
42,Philadelphia ,40.21202,-74.829450,Travelling + Trading,Circa 1764,
